#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
26.05.83;;;149,537;210,371;405,528;165,48;;8626
27.05.83;;;149,626;209,857;405,528;164,46;;8617,92
30.05.83;;;149,231;209,59;405,528;164,46;;8622,35
31.05.83;;;148,457;208,692;404,892;162,39;;8617,57
01.06.83;;;145,282;205,419;404,892;162,55;;8549,7
02.06.83;;;145,006;205,721;404,892;163,98;;8517,88
03.06.83;;;144,794;205,419;404,892;164,42;;8510,98
06.06.83;;;145,243;205,13;404,892;164,83;;8505,92
07.06.83;;;145,236;204,277;404,892;162,77;;8475,3
08.06.83;;;145,52;203,556;404,892;161,36;;8445,45
09.06.83;;;146,223;203,909;404,892;161,83;;8468,12
10.06.83;;;146,597;204,542;404,892;162,68;;8500,48
13.06.83;;;147,418;206,862;404,892;164,84;;8598,65
14.06.83;;;146,607;205,978;404,892;165,53;;8618,38
15.06.83;;;144,972;204,628;404,892;167,12;;8608,33
16.06.83;;;146,447;207,391;404,892;169,14;;8645,33
17.06.83;;;147,373;210,117;404,892;169,13;;8702,68
20.06.83;;;149,041;211,181;404,892;169,02;;8711,73
21.06.83;;;149,19;212,607;404,892;170,53;;8798,62
22.06.83;;;149,895;214,312;404,892;170,99;;8826,88
23.06.83;;;151,018;214,639;404,892;170,57;;8813,48
24.06.83;;;151,967;215,321;404,892;170,4;;8845,38
27.06.83;;;152,655;216,248;404,892;168,46;;8900,04
28.06.83;;;149,766;212,506;404,892;165,68;;8838,24
29.06.83;;;149,392;211,851;404,892;166,64;;8844,19
30.06.83;;;150,71;212,964;415,21;168,11;;8870,95
01.07.83;;;150,262;213,603;415,21;168,91;;8935,66
04.07.83;;;149,174;212,565;415,21;168,91;;8971,58
05.07.83;;;148,63;211,584;415,21;166,6;;8928,13
06.07.83;;;149,184;212,338;415,21;168,48;;8984,88
07.07.83;;;149,182;212,712;415,21;167,56;;9015,76
08.07.83;;;148,412;212,051;415,21;167,08;;9012,41
11.07.83;;;147,545;210,777;415,21;168,11;;8968,77
12.07.83;;;146,987;210,024;415,21;165,53;;8937,21
13.07.83;;;145,801;209,172;415,21;165,46;;8883,6
14.07.83;;;147,399;210,253;415,21;166,01;;8884,98
15.07.83;;;145,609;208,801;415,21;164,29;;8900,02
18.07.83;;;146,021;209,183;415,21;163,95;;8885,07
19.07.83;;;146,777;209,825;415,21;164,83;;8866,66
20.07.83;;;148,83;212,757;415,21;169,29;;8927,32
21.07.83;;;149,975;214,919;415,21;169,06;;9019,69
22.07.83;;;149,302;213,939;415,21;168,89;;8993,4
25.07.83;;;147,992;212,711;415,21;169,53;;8991,93
26.07.83;;;149,56;214,227;415,21;170,35;;9005,48
27.07.83;;;150,411;215,402;415,21;167,59;;9062,37
28.07.83;;;150,044;215,113;415,21;165,04;;9112,07
29.07.83;;;148,248;212,976;421,714;162,56;;9078,75
